latitude,longitude,elephant_risk,deer_risk,wildboar_risk,buffalo_risk
6.9,79.85,0.006246503608357381,0.04737882369707259,0.0015432740026491746,1.7970586131383266e-06
6.9,79.875,0.01108418244479806,0.08077611799926446,0.002514773697576266,7.5038236680846295e-06
6.9,79.9,0.01873415395118333,0.1368050277929297,0.004038972952323514,1.7315217972839966e-05
6.9,79.925,0.03062616307922361,0.22855727389947297,0.006387874117532722,3.416592448373763e-05
6.9,79.95,0.048362479329499705,0.3693631454327835,0.009926991476632218,6.307100020247453e-05
6.9,79.975,0.07166062008402366,0.5394259867790362,0.015108355484170763,0.00011258222975782628
6.9,80.0,0.09065867734547774,0.582290313782944,0.02241789767906994,0.00019724439226251095
6.9,80.025,0.0876957562668316,0.4324570000341898,0.03224220176090964,0.0003417163040123347
6.9,80.05,0.07403827389917932,0.27615766921326346,0.044626911059522996,0.0005876385257458243
6.9,80.075,0.06873126548520624,0.1699617021614446,0.05895267277531889,0.0010049775438651508
6.9,80.1,0.07854815350787356,0.1054782703204251,0.07368059916132674,0.0017105421809510595
6.9,80.125,0.10459866097337628,0.0689186445179979,0.0864725363076452,0.002897709883458359
6.9,80.15,0.1226396369752517,0.05040267986894435,0.09497097156884421,0.004883017513357869
6.9,80.175,0.08953762842371397,0.04377728974834251,0.0980957011770264,0.008176553317549178
6.9,80.2,0.05457564737785939,0.0451660003239032,0.09709970181560645,0.01358204571349173
6.9,80.225,0.031979128368379635,0.051568471050559124,0.09561968679027615,0.0223238138772126
6.9,80.25,0.018441854261011362,0.059796856303496994,0.09880525591312178,0.03616843444963028
6.9,80.275,0.010522794144036963,0.06618300470486782,0.11227604410653896,0.05743190612216626
6.9,80.3,0.005954813321369946,0.06751450574396888,0.14125649903172763,0.08859421120779358
6.9,80.325,0.0033635340312458805,0.06265311041270244,0.18921087115517535,0.1309675984675058
6.9,80.35,0.0019463001231818026,0.0530915343876747,0.2546861645286427,0.18175730477215807
6.9,80.375,0.001256034583781306,0.04168051024857034,0.3266599780176581,0.23017222811566512
6.925,79.85,0.006518963336683181,0.040242255868653265,0.0011577244478365829,2.4616616534208134e-06
6.925,79.875,0.011134662158083798,0.06667091041746383,0.0018588592657230588,8.701819493624744e-06
6.925,79.9,0.017954745766357905,0.10834284645936701,0.0029337874194948657,1.9478860528263605e-05
