segment_id,latitude,longitude,flood_probability_proxy,landslide_probability_proxy,elephant_risk,deer_risk,wildboar_risk,buffalo_risk
SEG_0000,6.9,79.85,0.9444444444444444,0.0,0.0062465036083573,0.0473788236970725,0.0015432740026491,1.7970586131383266e-06
SEG_0001,6.9,79.875,0.9479166666666666,0.0,0.011084182444798,0.0807761179992644,0.0025147736975762,7.503823668084629e-06
SEG_0002,6.9,79.9,0.0,0.0,0.0187341539511833,0.1368050277929297,0.0040389729523235,1.7315217972839966e-05
SEG_0003,6.9,79.925,0.0,0.0,0.0306261630792236,0.2285572738994729,0.0063878741175327,3.416592448373763e-05
SEG_0004,6.9,79.95,0.0,0.0,0.0483624793294997,0.3693631454327835,0.0099269914766322,6.307100020247453e-05
SEG_0005,6.9,79.975,0.0,0.0,0.0716606200840236,0.5394259867790362,0.0151083554841707,0.0001125822297578
SEG_0006,6.9,80.0,0.0,0.0,0.0906586773454777,0.582290313782944,0.0224178976790699,0.0001972443922625
SEG_0007,6.9,80.025,0.0,0.7714285714285715,0.0876957562668316,0.4324570000341898,0.0322422017609096,0.0003417163040123
SEG_0008,6.9,80.05,0.0,0.0,0.0740382738991793,0.2761576692132634,0.0446269110595229,0.0005876385257458
SEG_0009,6.9,80.075,0.0,0.0,0.0687312654852062,0.1699617021614446,0.0589526727753188,0.0010049775438651
SEG_0010,6.9,80.1,0.0,0.0,0.0785481535078735,0.1054782703204251,0.0736805991613267,0.001710542180951
SEG_0011,6.9,80.125,0.0,0.675,0.1045986609733762,0.0689186445179979,0.0864725363076452,0.0028977098834583
SEG_0012,6.9,80.15,0.0,0.8,0.1226396369752517,0.0504026798689443,0.0949709715688442,0.0048830175133578
SEG_0013,6.9,80.175,0.0,0.7714285714285715,0.0895376284237139,0.0437772897483425,0.0980957011770264,0.0081765533175491
SEG_0014,6.9,80.2,0.0,0.0,0.0545756473778593,0.0451660003239032,0.0970997018156064,0.0135820457134917
SEG_0015,6.9,80.225,0.0,0.0,0.0319791283683796,0.0515684710505591,0.0956196867902761,0.0223238138772126
SEG_0016,6.9,80.25,0.0,0.0,0.0184418542610113,0.0597968563034969,0.0988052559131217,0.0361684344496302
SEG_0017,6.9,80.275,0.0,0.7105263157894737,0.0105227941440369,0.0661830047048678,0.1122760441065389,0.0574319061221662
SEG_0018,6.9,80.3,0.0,0.6585365853658537,0.0059548133213699,0.0675145057439688,0.1412564990317276,0.0885942112077935
SEG_0019,6.9,80.325,0.0,1.0,0.0033635340312458,0.0626531104127024,0.1892108711551753,0.1309675984675058
SEG_0020,6.9,80.35,0.0,1.0,0.0019463001231818,0.0530915343876747,0.2546861645286427,0.181757304772158
SEG_0021,6.9,80.375,0.0,1.0,0.0012560345837813,0.0416805102485703,0.3266599780176581,0.2301722281156651
SEG_0022,6.925,79.85,0.9358974358974359,0.0,0.0065189633366831,0.0402422558686532,0.0011577244478365,2.4616616534208134e-06
SEG_0023,6.925,79.875,0.9375,0.0,0.0111346621580837,0.0666709104174638,0.001858859265723,8.701819493624744e-06
SEG_0024,6.925,79.9,0.9468085106382979,0.0,0.0179547457663579,0.108342846459367,0.0029337874194948,1.9478860528263605e-05
SEG_0025,6.925,79.925,0.0,0.0,0.027544527976373,0.1700917927933016,0.0045484179299016,3.808085434065565e-05
SEG_0026,6.925,79.95,1.0,0.0,0.0398870971680066,0.2499874833234983,0.0069132628219646,7.016791736526167e-05
SEG_0027,6.925,79.975,0.0,0.0,0.0531357346599783,0.3232104846044865,0.0102697975846805,0.0001254719120809
SEG_0028,6.925,80.0,0.0,0.7777777777777778,0.0624632070519307,0.3381259594446804,0.0148499678626119,0.0002207015559285
SEG_0029,6.925,80.025,1.0,0.0,0.0638872139738066,0.2810420446217303,0.0207970726200998,0.0003844936287008
SEG_0030,6.925,80.05,0.0,0.0,0.0615965474870709,0.2005792238082555,0.0280481774196411,0.0006658204325928
SEG_0031,6.925,80.075,0.0,0.0,0.0645937346883578,0.1337377986459069,0.0362107388514409,0.0011481976142957
SEG_0032,6.925,80.1,0.0,0.0,0.0809184310416814,0.0888052631015155,0.0445176443392165,0.001973539337605
SEG_0033,6.925,80.125,0.0,0.0,0.1188226910993151,0.0628630364391218,0.0519816337169015,0.0033818553110928
SEG_0034,6.925,80.15,0.0,0.0,0.1659386367736305,0.0515259473009226,0.0578234007423647,0.0057764707575137
SEG_0035,6.925,80.175,0.0,0.7941176470588235,0.1019259770643031,0.0515652200931264,0.0620835152351972,0.0098291484503835
SEG_0036,6.925,80.2,0.0,0.0,0.0589961308321521,0.0608126607238112,0.0661608239833698,0.0166444566663673
SEG_0037,6.925,80.225,0.0,0.8484848484848485,0.03403088673963,0.076979283648594,0.0730620014999426,0.0280036479982054
SEG_0038,6.925,80.25,0.0,0.7297297297297297,0.0196415798474467,0.0959845774245006,0.0874122253232116,0.0466909526156496
SEG_0039,6.925,80.275,0.0,0.7941176470588235,0.0113905062943063,0.1110448911170652,0.1154442683592065,0.07682788927284
SEG_0040,6.925,80.3,0.0,0.7714285714285715,0.0066868728587787,0.1148955442477113,0.1648862781433939,0.1238924656664939
SEG_0041,6.925,80.325,0.0,0.9310344827586207,0.0040316256220881,0.1050062239938874,0.2436463020697169,0.1934252107633982
SEG_0042,6.925,80.35,0.0,0.9310344827586207,0.0025702001561285,0.0857093591514129,0.3540516620116427,0.2860187667837872
SEG_0043,6.925,80.375,0.0,1.0,0.001835822909469,0.0640294212995062,0.4775991471001106,0.3855285290396365
SEG_0044,6.95,79.85,0.0,0.0,0.0070988074999703,0.0316333363075313,0.0008428962553633,2.959318680692321e-06
SEG_0045,6.95,79.875,0.9397590361445783,0.0,0.0117835226645263,0.0504588844911221,0.0013351120712092,9.600562281913656e-06
SEG_0046,6.95,79.9,0.9444444444444444,0.0,0.0183726279019973,0.0780174480939936,0.0020729394020677,2.110668953510778e-05
SEG_0047,6.95,79.925,0.9375,0.0,0.0269456739931067,0.1148400088596755,0.0031544931618186,4.103718893070041e-05
SEG_0048,6.95,79.95,0.0,0.0,0.0367667478043479,0.1563287815929444,0.0046976706866694,7.555108159100553e-05
SEG_0049,6.95,79.975,0.0,0.0,0.0458431083659493,0.1889848918280931,0.0068285864723722,0.0001353002107204
SEG_0050,6.95,80.0,0.0,0.0,0.0515427736984942,0.1953850878447507,0.0096564192663217,0.0002386957526593
SEG_0051,6.95,80.025,1.0,0.0,0.0530010650778327,0.1718657342969874,0.0132327247409231,0.0004175373951525
SEG_0052,6.95,80.05,1.0,0.0,0.0530548250445833,0.1334358284176238,0.0175020189961444,0.0007266995840284
SEG_0053,6.95,80.075,0.0,0.0,0.0568189218125411,0.0968649976717658,0.0222668242503125,0.0012607661845209
SEG_0054,6.95,80.1,0.0,0.7297297297297297,0.0688357836912199,0.0703772090682383,0.0272096130486325,0.0021825229512774
SEG_0055,6.95,80.125,1.0,0.0,0.0890374795089709,0.0558252114129551,0.0320207213011504,0.0037715840166202
SEG_0056,6.95,80.15,0.0,0.0,0.0990441561979782,0.0529423581344534,0.036656093180832,0.0065069533736441
SEG_0057,6.95,80.175,0.0,0.6585365853658537,0.077779986971301,0.0616118616125383,0.041694718632718,0.0112061385698873
SEG_0058,6.95,80.2,0.0,0.0,0.0504767489127891,0.0822740887765522,0.048730666995316,0.0192567903741067
SEG_0059,6.95,80.225,0.0,0.0,0.0309651689189729,0.1146472519740085,0.0607800039480952,0.0329949023200212
SEG_0060,6.95,80.25,0.0,0.7105263157894737,0.0187922394144486,0.1543128711622231,0.0828029554158148,0.0563007227492122
SEG_0061,6.95,80.275,0.0,0.675,0.0115513816749728,0.1883447836891865,0.1225312812705338,0.0954711577708284
SEG_0062,6.95,80.3,0.0,0.7297297297297297,0.0073435363801872,0.1981513644322282,0.1916728094247406,0.1602722131597934
SEG_0063,6.95,80.325,0.0,0.6923076923076923,0.0049320978768978,0.1766137806514602,0.3068018047506392,0.2643484385291952
SEG_0064,6.95,80.35,0.0,0.9310344827586207,0.0035709357305972,0.1368471636644478,0.4859185142680644,0.4212838596982742
SEG_0065,6.95,80.375,0.0,1.0,0.0028449154664866,0.0962834570706455,0.7227736841962211,0.62289909520197
SEG_0066,6.975,79.85,0.0,0.0,0.0081860140910296,0.0233297499381202,0.0005964547445925,3.253423607496064e-06
SEG_0067,6.975,79.875,0.0,0.0,0.0134722323045799,0.0357398339179597,0.0009341393902781,1.012983233317438e-05
SEG_0068,6.975,79.9,0.9620253164556962,0.0,0.0209261225939376,0.0526468364210212,0.0014296860975827,2.206415198973256e-05
SEG_0069,6.975,79.925,0.9789473684210527,0.0,0.0306059602847649,0.0733384544698544,0.0021400304164734,4.277679322410534e-05
SEG_0070,6.975,79.95,0.9634146341463414,0.0,0.0414581644859469,0.0944850197965228,0.003130491853368,7.872387589434841e-05
